Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kevon Looney,C,27,GSW,15,13,24.2,2.7,4.4,.606,0.0,0.0,,2.7,4.4,.606,.606,0.8,1.1,.750,3.5,5.9,9.4,2.9,0.7,0.4,0.9,2.7,6.1
Brook Lopez,C,35,MIL,14,14,28.2,4.0,8.9,.452,1.6,4.7,.333,2.4,4.1,.586,.540,1.1,1.4,.789,1.4,3.6,4.9,1.0,0.7,3.0,0.9,2.0,10.6
Robin Lopez,C,35,MIL,3,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.7,0.7,1.000,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.7,0.7
Kevin Love,PF,35,MIA,9,3,16.8,2.3,6.2,.375,1.6,4.9,.318,0.8,1.3,.583,.500,1.6,2.0,.778,0.7,5.6,6.2,1.9,0.1,0.0,0.6,1.8,7.8
Kyle Lowry,PG,37,MIA,13,13,29.0,2.3,5.8,.400,1.8,4.2,.426,0.5,1.6,.333,.553,0.6,0.6,1.000,0.8,3.2,4.1,4.8,1.4,0.2,1.5,2.6,7.0
Théo Maledon,PG,22,CHO,11,1,17.5,1.7,5.8,.297,0.5,2.6,.172,1.3,3.2,.400,.336,1.0,1.1,.917,0.4,1.7,2.1,2.1,0.6,0.0,1.4,1.5,4.9
Sandro Mamukelashvili,C,24,SAS,5,0,8.4,1.0,2.4,.417,0.2,1.0,.200,0.8,1.4,.571,.458,1.0,1.2,.833,1.0,1.4,2.4,1.0,0.2,0.2,0.6,1.2,3.2
Terance Mann,SG,27,LAC,6,2,24.8,1.3,4.5,.296,0.3,2.3,.143,1.0,2.2,.462,.333,0.2,0.3,.500,1.5,3.7,5.2,2.8,0.8,0.2,0.8,2.2,3.2
Tre Mann,PG,22,OKC,5,0,8.8,2.0,3.6,.556,0.6,1.6,.375,1.4,2.0,.700,.639,0.2,0.2,1.000,0.6,1.6,2.2,1.2,0.2,0.0,1.0,0.2,4.8
Boban Marjanović,C,35,HOU,3,0,6.7,1.7,3.0,.556,0.0,0.3,.000,1.7,2.7,.625,.556,0.0,0.3,.000,0.7,2.0,2.7,1.0,0.0,0.3,0.0,0.7,3.3
Lauri Markkanen,PF,26,UTA,14,14,34.1,8.1,16.7,.483,3.4,8.7,.393,4.6,8.0,.580,.585,4.1,4.9,.841,2.4,6.4,8.7,1.1,1.0,0.9,1.3,2.3,23.7
Naji Marshall,SF,26,NOP,5,0,20.6,3.6,6.6,.545,1.6,3.4,.471,2.0,3.2,.625,.667,2.0,2.2,.909,0.8,3.0,3.8,2.0,0.8,0.4,2.0,1.6,10.8
